prey_code,pred_code,weight
F149,F33,0.000174954
F15,F33,0.000175616
F150,F33,1.75E-04
F151,F33,0.000172915
F152,F33,0.000175616
F153,F33,0.000175616
F155,F33,0.000170954
F157,F33,0.000175616
F159,F33,0.000173143
F161,F33,0.000175616
F163,F33,1.75E-04
F166,F33,0.000167254
F167,F33,0.000175616
F168,F33,0.000171333
F169,F33,0.000175616
F174,F33,0.000175616
F177,F33,0.000175616
F179,F33,0.000175616
F180,F33,0.000170276
F185,F33,0.000175616
F186,F33,0.000175616
F187,F33,0.000175616
F188,F33,0.000164898
F19,F33,0.000175616
F192,F33,0.000175616
F193,F33,0.000175616
F198,F33,0.000164898
F2,F33,1.76E-04
F203,F33,0.000175616
F205,F33,0.000177253
F207,F33,0.000174034
F21,F33,0.000175616
F28,F33,0.000175616
F3,F33,1.76E-04
F4,F33,0.000175616
F42,F33,0.000175616
F43,F33,0.000174483
F44,F33,0.000175616
F45,F33,0.000175616
F46,F33,0.000175616
F48,F33,0.000175416
F49,F33,1.76E-04
F5,F33,0.000175616
F50,F33,1.75E-04
F51,F33,1.76E-04
F52,F33,1.76E-04
F53,F33,0.000172915
F59,F33,0.000173211
F6,F33,0.000175616
F60,F33,8.78082E-05
F61,F33,8.78082E-05
F64,F33,0.000173859
F65,F33,1.76E-04
F7,F33,0.000175616
F70,F33,0.000175616
F71,F33,0.000175616
F72,F33,1.75E-04
F74,F33,0.000175033
F76,F33,0.000176014
F77,F33,0.00017688
F78,F33,0.000176795
F79,F33,1.76E-04
F8,F33,0.000175429
F84,F33,0.000175616
F85,F33,0.000175616
F86,F33,0.000173878
F87,F33,0.000154728
F88,F33,0.000159651
F89,F33,1.77E-04
F9,F33,0.000175616
F90,F33,0.000173481
F91,F33,0.000177839
F95,F33,0.0001747
F96,F33,0.00017317
F97,F33,0.000175616
F98,F33,0.000175616
F1,F34,6.25E-05
F10,F34,6.67123E-05
F100,F34,6.67123E-05
F101,F34,6.60E-05
F103,F34,6.69802E-05
