Unique_link_identifier,Tip_label,Taxonomy,Metabolic_category,Feeding_type_-_consumer,Environment,Feeding_Mode,Trophic_Level,d15N,Mean_mass_(g),Mobility,Trophic_Uniqueness,Trophic_Flexibility,
427,,Chionodraco_hamatus,ectotherm_vertebrate,carnivorous,demersal,predator,3.8,11.74,1100,4,0.133,0.3133,Error
428,,Chionodraco_myersi,ectotherm_vertebrate,carnivorous,demersal,predator,4.09,11.2,370,4,0.138,0.2922,Error
429,,Cryodraco_antarcticus,ectotherm_vertebrate,carnivorous,demersal,predator,3.54,12.25,1300,4,0.131,0.3026,Error
430,,Dacodraco_hunteri,ectotherm_vertebrate,carnivorous,demersal,predator,4.79,12.79,330,4,0.234,0.2239,Error
431,,Pagetopsis_maculatus,ectotherm_vertebrate,carnivorous,demersal,predator,4.09,10.11,81,4,0.138,0.2923,Error
432,Aethotaxis_mitopteryx,Aethotaxis_mitopteryx,ectotherm_vertebrate,carnivorous,benthopelagic,predator,3.86,12.3,49,4,0.113,0.4556,TRUE
433,Dissostichus_mawsoni,Dissostichus_mawsoni,ectotherm_vertebrate,carnivorous,pelagic,predator,4.14,9.07,24000,4,0.15,0.3905,TRUE
434,Trematomus_eulepidotus,Trematomus_eulepidotus,ectotherm_vertebrate,carnivorous,benthopelagic,predator,3.68,9.43,480,4,0.144,0.4753,TRUE
435,Trematomus_lepidorhinus,Trematomus_lepidorhinus,ectotherm_vertebrate,carnivorous,benthopelagic,predator,3.8,9.025,150,4,0.112,0.4785,TRUE
436,Trematomus_loennbergii,Trematomus_loennbergii,ectotherm_vertebrate,carnivorous,benthopelagic,predator,4.08,12.567,250,4,0.12,0.6324,TRUE
437,Trematomus_nicolai,Trematomus_nicolai,ectotherm_vertebrate,carnivorous,benthopelagic,predator,3.83,8.165,660,4,0.11,0.4561,TRUE
438,Trematomus_pennellii,Trematomus_pennellii,ectotherm_vertebrate,carnivorous,demersal,predator,4.02,10.688,300,4,0.103,0.5729,TRUE
439,Trematomus_scotti,Trematomus_scotti,ectotherm_vertebrate,carnivorous,demersal,predator,3.81,10.852,95,4,0.104,0.4769,TRUE
440,,Pleuragramma_antarcticum,ectotherm_vertebrate,carnivorous,demersal,predator,3.64,9.043,300,4,0.122,0.3462,Error
441,,Notothenia_marmorata,ectotherm_vertebrate,carnivorous,demersal,predator,4.17,11.982,8600,4,0.168,0.6113,Error
442,Notothenia_coriiceps,Notothenia_coriiceps,ectotherm_vertebrate,carnivorous,demersal,predator,4.24,11.982,2000,4,0.137,0.5947,TRUE
443,Trematomus_bernacchii,Trematomus_bernacchii,ectotherm_vertebrate,carnivorous,demersal,predator,3.61,11.12,240,4,0.136,0.4843,TRUE
444,Trematomus_hansoni,Trematomus_hansoni,ectotherm_vertebrate,carnivorous,benthopelagic,predator,4.34,9.076,300,4,0.174,0.4581,TRUE
445,Macrourus_holotrachys,Macrourus_holotrachys,ectotherm_vertebrate,carnivorous,benthopelagic,predator,4.75,11.6,3800,4,0.185,0.3068,TRUE
446,Macrourus_whitsoni,Macrourus_whitsoni,ectotherm_vertebrate,carnivorous,benthopelagic,predator,4.58,9.565,5100,4,0.191,0.4468,TRUE
447,Electrona_antarctica,Electrona_antarctica,ectotherm_vertebrate,carnivorous,pelagic,predator,3.47,8.46,39,4,0.102,0.329,TRUE
448,Harpagifer_antarcticus,Harpagifer_antarcticus,ectotherm_vertebrate,carnivorous,demersal,predator,3.79,11.75,36,4,0.137,0.4706,TRUE
449,Bathylagus_antarcticus,Bathylagus_antarcticus,ectotherm_vertebrate,carnivorous,pelagic,predator,3.35,9.22,27,4,0.296,0.6247,TRUE
450,Notolepis_coatsi,Notolepis_coatsi,ectotherm_vertebrate,carnivorous,pelagic,predator,3.48,8.52,3.1,4,0.179,0.6018,TRUE
